State Code,Year,Aggre- gation Level,July Employment,Annual Average Employment
01,1990,50,1599355,1600920
02,1990,50,248266,233887
04,1990,50,1442126,1498750
05,1990,50,878830,898947
06,1990,50,13218899,13262696
08,1990,50,1509455,1502679
09,1990,50,1617266,1618333
10,1990,50,345720,342013
11,1990,50,671662,669156
12,1990,50,5219397,5393564
13,1990,50,2956262,2938272
15,1990,50,535337,532461
16,1990,50,394803,402392
17,1990,50,5212847,5191684
18,1990,50,2445681,2448589
19,1990,50,1206341,1183578
20,1990,50,1053796,1063454
21,1990,50,1372628,1411567
22,1990,50,1541337,1546402
23,1990,50,537990,528787
24,1990,50,2123179,2136674
25,1990,50,2888964,2920678
26,1990,50,3869334,3872732
27,1990,50,2043388,2062366
28,1990,50,904447,915144
29,1990,50,2252108,2280202
30,1990,50,283858,286472
31,1990,50,717855,710711
32,1990,50,624707,617030
33,1990,50,498037,497266
34,1990,50,3521992,3561464
35,1990,50,555728,560652
36,1990,50,7982193,8088866
37,1990,50,3076550,3079107
38,1990,50,242607,245693
39,1990,50,4791898,4769108
40,1990,50,1144457,1169660
41,1990,50,1243243,1235891
42,1990,50,5022225,5045453
44,1990,50,436835,446153
45,1990,50,1492310,1508667
46,1990,50,279180,274120
47,1990,50,2116601,2145564
48,1990,50,6971509,6983065
49,1990,50,692860,702558
50,1990,50,246662,250839
51,1990,50,2825919,2829324
53,1990,50,2178578,2132868
54,1990,50,604649,602113
55,1990,50,2210749,2214357
56,1990,50,196058,190639
72,1990,50,855209,860862
78,1990,50,42740,43062
