"V1","V2","V3","V4","V5"
"1",363949.067831361,360443,262311,3506.06783136097,0.00972710756308478
"2",14359.1282270863,13971,12619,388.12822708633,0.0277809911306514
"3",486379.70166057,483120,388399,3259.70166057016,0.00674718840157759
"4",9393.14788724122,9814,5345,-420.852112758779,-0.0428828319501507
"5",4214.21488181667,4432,4482,-217.785118183326,-0.0491392414673569
"6",4874.60069711844,5072,4676,-197.399302881562,-0.0389194209151345
"7",257139.842769043,282775,216699,-25635.1572309572,-0.0906556705188125
"8",13294.2298050974,14879,11526,-1584.77019490263,-0.106510531279161
"9",2183.63524426729,2201,2352,-17.3647557327054,-0.00788948465820325
"10",8925.13359088284,9280,7574,-354.866409117158,-0.0382399147755558
"11",8249.4816752337,8347,7423,-97.5183247663044,-0.0116830387883436
"12",3266.49974248345,3663,3188,-396.500257516554,-0.108244678546698
"13",3276.84304812673,3522,2915,-245.156951873273,-0.0696073117187033
"14",3267.16342991081,3487,1925,-219.836570089188,-0.0630446143071946
"15",27602.7497594439,26918,20480,684.749759443948,0.0254383594414127
"16",550752.701650817,541917,456760,8835.70165081741,0.0163045293851594
"17",1805.51773518508,1844,1504,-38.4822648149211,-0.0208689071664431
"18",168334.189257436,175300,60174,-6965.8107425638,-0.0397365130779452
"19",40513.5217473811,41306,21812,-792.478252618908,-0.0191855481677942
"20",18960.1638618676,19837,9601,-876.83613813241,-0.0442020536438176
"21",525024.321742933,501533,381460,23491.3217429328,0.0468390350045416
"22",37458.2538977064,37002,28370,456.253897706418,0.0123305199099081
"23",47104.6570359093,42942,29283,4162.65703590933,0.0969367294469128
"24",4486.69739782941,4733,3068,-246.302602170588,-0.0520394257702489
"25",10748.3122496263,12049,7891,-1300.68775037374,-0.107949850641028
"26",13307.8409779459,12981,9186,326.840977945858,0.025178412907007
"27",793.23657015474,790,467,3.23657015474089,0.00409692424650745
"28",7616.0092922508,6943,5893,673.009292250794,0.0969335002521668
"29",1345.79094156614,1567,1594,-221.209058433864,-0.141167235758688
"30",507824.431463471,519326,431948,-11501.5685365291,-0.0221471070898225
"31",1466.30875681978,1598,1644,-131.691243180218,-0.0824100395370574
"32",7509.74156627183,7480,7074,29.7415662718258,0.00397614522350613
"33",7473.64088146637,7713,5983,-239.359118533635,-0.0310332060850038
"34",43661.2810087899,42116,30618,1545.28100878991,0.0366910677364876
"35",246310.108106572,244374,179612,1936.10810657206,0.00792272543958058
"36",14988.2102158037,14816,13383,172.210215803689,0.0116232597059725
"37",5119.83377770105,5031,4424,88.8337777010493,0.0176572804017192
"38",18398.0127280565,18516,17180,-117.987271943541,-0.00637217930133618
"39",115792.747943211,112971,90797,2821.74794321097,0.0249776309248477
"40",823.725593918206,830,558,-6.27440608179404,-0.00755952539975186
"41",12861.0417209173,12873,11228,-11.9582790826717,-0.000928942677128226
"42",24219.0216901862,23392,18520,827.02169018619,0.0353548944163043
"43",33812.2060378355,32882,24028,930.206037835487,0.0282892171350735
"44",25739.4004910512,26687,21483,-947.599508948828,-0.035507906806641
"45",19119.0680443937,19743,19692,-623.931955606327,-0.0316026923773655
"46",3646.85403791264,3724,2292,-77.145962087362,-0.0207158867044474
"47",13233.6067921244,14453,7174,-1219.39320787564,-0.0843695570383755
"48",4299.81029671743,4391,4124,-91.1897032825736,-0.0207674113601853
"49",14880.7156240521,14544,12541,336.715624052118,0.0231515143050136
"50",13715.5276865916,14183,13161,-467.472313408445,-0.0329600446596944
"51",136999.880776805,137337,120136,-337.119223194575,-0.00245468608746787
"52",5721.43090994623,5754,5819,-32.5690900537711,-0.00566025200795466
"53",11601.9121871072,12162,10572,-560.087812892809,-0.0460522786460129
"54",18256.1091497882,19433,13923,-1176.89085021184,-0.0605614598987209
"55",5533.97281390877,5881,4529,-347.027186091232,-0.059008193520019
"56",563.035912990113,553,745,10.0359129901126,0.0181481247560806
"57",6181.91230604626,6577,3597,-395.08769395374,-0.0600711105296853
"58",2588.0041032583,2690,2658,-101.995896741701,-0.0379166902385507
"59",23373.743438543,22621,12826,752.74343854301,0.0332763113276606
"60",19637.7645364584,20435,12404,-797.23546354159,-0.0390132353091065
"61",4749.49100445693,4887,4778,-137.508995543075,-0.0281377113859372
"62",180387.527166783,175959,127661,4428.52716678273,0.0251679491630592
"63",9189.26662175385,9706,8833,-516.733378246152,-0.0532385512308007
