Area,,Population_1990,Population_2000,,Drivers_1990,Drivers_2000,,IncomeTax_1990,IncomeTax_2000,,QCEWEmployment_1990,QCEWEmployment_2000
Alabama,,2458810,2743880,,2752590,3521444,,1712000,1897625,,1599355,1872469
Alaska,,355330,400516,,314300,465256,,314000,326978,,248266,287139
Arizona,,2205335,3095846,,2392618,3433995,,1602000,2085722,,1442126,2135323
Arkansas,,1379536,1619012,,1722021,1947867,,965000,1108048,,878830,1098164
California,,18873744,21026161,,19845906,21243939,,13735000,14481645,,13218899,14910297
Colorado,,2103685,2784393,,2043003,3107258,,1564000,2026803,,1509455,2211173
Connecticut,,2091628,2093694,,2214146,2652593,,1658000,1645727,,1617266,1665966
Delaware,,422092,487287,,484801,556688,,328000,371374,,345720,415014
District of Columbia,,411961,387169,,412312,348216,,318000,378108.4,,671662,640005
Florida,,7702258,9528441,,9231405,12853428,,6141000,7265999,,5219397,6854201
Georgia,,4096643,5231944,,4478260,5550176,,2882000,3556513,,2956262,3903736
Hawaii,,703098,755169,,677626,769383,,555000,557444,,535337,549959
Idaho,,577079,779007,,704184,883546,,428000,545624,,394803,574506
Illinois,,7047691,7673817,,7294732,7961046,,5358000,5713267,,5212847,5927012
Indiana,,3391999,3753258,,3601354,3976241,,2526000,2802778,,2445681,2918603
Iowa,,1631769,1756473,,1872486,1952508,,1269000,1344915,,1206341,1452091
Kansas,,1473389,1619196,,1714507,1908117,,1104000,1212401,,1053796,1298831
Kentucky,,2264357,2542158,,2401661,2694469,,1516000,1717514,,1372628,1739007
Louisiana,,2523713,2732248,,2575460,2759120,,1688000,1858722,,1541337,1852729
Maine,,755553,790283,,887042,920235,,566000,594550,,537990,604961
Maryland,,3101745,3341007,,3361936,3382451,,2334000,2397064.6,,2123179,2391607
Massachusetts,,3844066,3988871,,4229311,4489695,,2900000,3047108,,2888964,3244559
Michigan,,5728071,6123659,,6440390,6925246,,4168000,4556618,,3869334,4549825
Minnesota,,2661382,3038319,,2528941,2940789,,2025000,2340577,,2043388,2590507
Mississippi,,1505171,1725948,,1884544,2007746,,1015000,1169427,,904447,1129876
Missouri,,3084566,3412140,,3688081,3856271,,2288000,2530427,,2252108,2649616
Montana,,470464,551184,,603614.38,678899,,355000,416254,,283858,375603
Nebraska,,926305,1028826,,1088677,1195219,,732000,804051,,717855,892943
Nevada,,777254,1267529,,846410,1370643,,618000,911635,,624707,1017098
New Hampshire,,705468,778254,,843470,929630,,540000,611541,,498037,601758
New Jersey,,4898701,5213656,,5584727,5654973,,3865000,3989626,,3521992,3810975
New Mexico,,905266,1098247,,1073816,1239043,,661000,777889,,555728,713542
New York,,11367184,11837998,,10254229,10871344,,8212000,8420484,,7982193,8380094
North Carolina,,4218147,5116218,,4550644,5690494,,3042000,3569706,,3076550,3833482
North Dakota,,372360,386873,,424898,458944,,281000,301874,,242607,308480
Ohio,,6640410,6957044,,7427409,8205524,,5087000,5524665,,4791898,5541633
Oklahoma,,1884365,2102344,,2277540,2295036,,1316000,1445599,,1144457,1409279
Oregon,,1726867,2136696,,2211550.54,2495059,,1306000,1533622,,1243243,1612031
Pennsylvania,,7257727,7439668,,7899052,8229490,,5532000,5727850,,5022225,5550001
Rhode Island,,627227,648095,,670651,654035,,469000,481583,,436835,462622
South Carolina,,2169561,2517038,,2372825,2842553,,1551000,1774714,,1492310,1799882
South Dakota,,395211,444064,,492378,543817,,312000,350419,,279180,369577
Tennessee,,3041763,3587451,,3334425,4251228,,2170000,2534572,,2116601,2643403
Texas,,10434095,12892529,,11136694,13462023,,7407000,8840634,,6971509,9249701
Utah,,945448,1324249,,1046106,1463366,,682000,918655,,692860,1039983
Vermont,,353512,383794,,411920,506085,,267000,293304,,246662,290260
Virginia,,4018150,4547920,,4388805,4836993,,2885000,3265831,,2825919,3423137
Washington,,3030017,3718130,,3376671,4154501,,2303000,2709549,,2178578,2746369
West Virginia,,1081003,1129056,,1283703,1347207,,697000,745275,,604649,690941
Wisconsin,,2951566,3292366,,3327872,3770453,,2258000,2560004,,2210749,2723469
Wyoming,,270868,307216,,333546,370740,,205000,231888,,196058,236749
