"Area",,"Population_1990","Population_2000",,"Births_1990","Births_2000",,"SchoolEnrollment_1990","SchoolEnrollment_2000"
"Alabama",,1058788,1123422,,63487,63299,,721806,739992
"Alaska",,172344,190717,,11902,9974,,113903,133356
"Arizona",,981119,1366947,,68995,85273,,639853,877696
"Arkansas",,621131,680369,,36457,37783,,436286,449959
"California",,7750725,9249829,,612628,531959,,4950474,6140814
"Colorado",,861266,1100795,,53525,65438,,574213,724508
"Connecticut",,749581,841688,,50123,43026,,469123,562179
"Delaware",,163341,194587,,11113,11051,,99658,114676
"District of Columbia",,117092,114992,,11850,7666,,80694,68925
"Florida",,2866237,3646340,,199339,204125,,1861592,2434821
"Georgia",,1727303,2169234,,112666,132644,,1151687,1444937
"Hawaii",,280126,295767,,20489,17551,,171708,184360
"Idaho",,308405,369030,,16433,20366,,220840,245117
"Illinois",,2946366,3245451,,195790,185036,,1821407,2048792
"Indiana",,1455964,1574396,,86214,87699,,954525,989267
"Iowa",,718880,733638,,39409,38266,,483652,495080
"Kansas",,661614,712993,,39020,39666,,437034,470610
"Kentucky",,954094,994818,,54362,56029,,636401,665850
"Louisiana",,1227269,1219799,,72192,67898,,784757,743089
"Maine",,309002,301238,,17359,13603,,215149,207037
"Maryland",,1162241,1356172,,80245,74316,,715176,852920
"Massachusetts",,1353075,1500064,,92654,81614,,834314,975150
"Michigan",,2458765,2595767,,153700,136171,,1584431,1720626
"Minnesota",,1166783,1286894,,68013,67604,,756374,854340
"Mississippi",,746761,775187,,43563,44075,,502417,497871
"Missouri",,1314826,1427692,,79260,76463,,816558,912744
"Montana",,222104,230062,,11613,10957,,152974,154875
"Nebraska",,429012,450242,,24380,24646,,274081,286199
"Nevada",,296948,511799,,21599,30829,,201316,340706
"New Hampshire",,278755,309562,,17569,14609,,172785,208461
"New Jersey",,1799462,2087558,,122289,115632,,1089646,1313405
"New Mexico",,446741,508574,,27402,27223,,301881,320306
"New York",,4259549,4690107,,297576,258737,,2598337,2882188
"North Carolina",,1606149,1964047,,104525,120311,,1086871,1293638
"North Dakota",,175385,160849,,9250,7676,,117825,109201
"Ohio",,2799744,2888339,,166913,155472,,1771089,1835049
"Oklahoma",,837007,892360,,47649,49782,,579087,623110
"Oregon",,724130,846526,,42891,45804,,472394,546231
"Pennsylvania",,2794810,2922221,,171961,146281,,1667834,1814311
"Rhode Island",,225690,247822,,15195,12505,,138813,157347
"South Carolina",,920207,1009641,,58610,56114,,622112,677411
"South Dakota",,198462,202649,,10999,10345,,129164,128603
"Tennessee",,1216604,1398521,,74962,79611,,824595,909161
"Texas",,4835839,5886759,,316423,363414,,3382887,4059619
"Utah",,627444,718698,,36277,47353,,446652,481485
"Vermont",,143083,147523,,8273,6500,,95762,102049
"Virginia",,1504738,1738262,,99352,98938,,998601,1144915
"Washington",,1261387,1513843,,79251,81036,,839709,1004770
"West Virginia",,443577,402393,,22585,20865,,322389,286367
"Wisconsin",,1288982,1368756,,72895,69326,,797621,879476
"Wyoming",,135525,128873,,6985,6253,,98226,89940
